===== runner cache v1 =====
runner: scripts/frontier_color_projection_mc.py
runner_sha256: 6b5a626225eb831738f2adf16a2b661571ca61070138b786b27c8858d85c6326
timeout_sec: 1800
exit_code: 0
elapsed_sec: 182.74
status: ok
----- stdout -----
Color-projection Monte Carlo: R_conn from SU(3) on Z^4
Framework: Cl(3) on Z^3 lattice  |  Zero-import computation
======================================================================

======================================================================
Color Projection Monte Carlo
======================================================================
Lattice:          4^4 = 256 sites
Matrix size:      768 x 768
Beta:             6.0
Mass:             0.01
Thermalization:   500 sweeps
Measurements:     100 configs (every 10 sweeps)
Update algorithm: Cabibbo-Marinari heat bath
======================================================================

Thermalization (500 sweeps)...
  Sweep 100/500: plaq = 0.5689  [17.4s]
  Sweep 200/500: plaq = 0.5689  [35.4s]
  Sweep 300/500: plaq = 0.5760  [47.9s]
  Sweep 400/500: plaq = 0.5680  [60.4s]
  Sweep 500/500: plaq = 0.5761  [73.0s]
Thermalization done in 73.0s
Final thermalization plaquette: 0.5761

Measurements (100 configurations)...
  Config 1/100: plaq=0.5819, R_conn=0.872619 (t=1.3s)
  Config 2/100: plaq=0.5794, R_conn=0.872916 (t=1.4s)
  Config 3/100: plaq=0.5775, R_conn=0.825804 (t=1.4s)
  Config 4/100: plaq=0.5833, R_conn=0.872303 (t=1.4s)
  Config 5/100: plaq=0.5619, R_conn=0.892819 (t=1.2s)
  Config 6/100: plaq=0.5661, R_conn=0.915888 (t=1.1s)
  Config 7/100: plaq=0.5666, R_conn=0.893740 (t=1.2s)
  Config 8/100: plaq=0.5667, R_conn=0.900010 (t=1.2s)
  Config 9/100: plaq=0.5715, R_conn=0.882960 (t=1.1s)
  Config 10/100: plaq=0.5709, R_conn=0.877066 (t=1.1s)
  Config 11/100: plaq=0.5595, R_conn=0.875126 (t=1.2s)
  Config 12/100: plaq=0.5733, R_conn=0.890941 (t=1.1s)
  Config 13/100: plaq=0.5724, R_conn=0.896043 (t=1.1s)
  Config 14/100: plaq=0.5850, R_conn=0.859411 (t=1.1s)
  Config 15/100: plaq=0.5792, R_conn=0.901148 (t=1.1s)
  Config 16/100: plaq=0.5724, R_conn=0.883836 (t=1.1s)
  Config 17/100: plaq=0.5860, R_conn=0.885738 (t=1.1s)
  Config 18/100: plaq=0.5849, R_conn=0.884971 (t=1.1s)
  Config 19/100: plaq=0.5827, R_conn=0.916931 (t=1.1s)
  Config 20/100: plaq=0.5884, R_conn=0.903539 (t=1.1s)
  Config 21/100: plaq=0.5674, R_conn=0.914738 (t=1.1s)
  Config 22/100: plaq=0.5810, R_conn=0.850031 (t=1.1s)
  Config 23/100: plaq=0.5788, R_conn=0.886360 (t=1.1s)
  Config 24/100: plaq=0.5467, R_conn=0.889625 (t=1.2s)
  Config 25/100: plaq=0.5937, R_conn=0.863062 (t=1.1s)
  Config 26/100: plaq=0.5773, R_conn=0.890515 (t=1.1s)
  Config 27/100: plaq=0.5759, R_conn=0.896912 (t=1.2s)
  Config 28/100: plaq=0.5769, R_conn=0.876243 (t=1.1s)
  Config 29/100: plaq=0.5810, R_conn=0.852105 (t=1.1s)
  Config 30/100: plaq=0.5777, R_conn=0.865474 (t=1.1s)
  Config 31/100: plaq=0.5793, R_conn=0.878023 (t=1.1s)
  Config 32/100: plaq=0.5758, R_conn=0.882387 (t=1.2s)
  Config 33/100: plaq=0.5560, R_conn=0.902639 (t=1.2s)
  Config 34/100: plaq=0.5653, R_conn=0.881528 (t=1.2s)
  Config 35/100: plaq=0.5691, R_conn=0.877411 (t=1.1s)
  Config 36/100: plaq=0.5779, R_conn=0.915753 (t=1.1s)
  Config 37/100: plaq=0.5894, R_conn=0.889685 (t=1.1s)
  Config 38/100: plaq=0.5573, R_conn=0.913661 (t=1.1s)
  Config 39/100: plaq=0.5912, R_conn=0.903523 (t=1.1s)
  Config 40/100: plaq=0.5933, R_conn=0.910981 (t=1.1s)
  Config 41/100: plaq=0.5723, R_conn=0.865961 (t=1.1s)
  Config 42/100: plaq=0.5701, R_conn=0.904006 (t=1.1s)
  Config 43/100: plaq=0.5859, R_conn=0.880811 (t=1.1s)
  Config 44/100: plaq=0.5713, R_conn=0.872929 (t=1.2s)
  Config 45/100: plaq=0.5818, R_conn=0.901321 (t=1.1s)
  Config 46/100: plaq=0.5766, R_conn=0.920828 (t=1.1s)
  Config 47/100: plaq=0.5727, R_conn=0.884682 (t=1.1s)
  Config 48/100: plaq=0.5619, R_conn=0.921645 (t=1.2s)
  Config 49/100: plaq=0.5839, R_conn=0.910313 (t=1.2s)
  Config 50/100: plaq=0.5612, R_conn=0.895800 (t=1.2s)
  Config 51/100: plaq=0.5959, R_conn=0.894535 (t=1.2s)
  Config 52/100: plaq=0.5675, R_conn=0.911003 (t=1.2s)
  Config 53/100: plaq=0.5809, R_conn=0.866352 (t=1.2s)
  Config 54/100: plaq=0.5695, R_conn=0.883499 (t=1.1s)
  Config 55/100: plaq=0.5847, R_conn=0.912365 (t=1.1s)
  Config 56/100: plaq=0.5556, R_conn=0.901252 (t=1.2s)
  Config 57/100: plaq=0.5795, R_conn=0.897966 (t=1.2s)
  Config 58/100: plaq=0.5501, R_conn=0.885006 (t=1.2s)
  Config 59/100: plaq=0.5734, R_conn=0.889089 (t=1.2s)
  Config 60/100: plaq=0.5753, R_conn=0.886004 (t=1.2s)
  Config 61/100: plaq=0.5720, R_conn=0.903470 (t=1.1s)
  Config 62/100: plaq=0.5764, R_conn=0.888047 (t=1.2s)
  Config 63/100: plaq=0.5856, R_conn=0.865283 (t=1.1s)
  Config 64/100: plaq=0.5780, R_conn=0.872167 (t=1.1s)
  Config 65/100: plaq=0.5561, R_conn=0.894491 (t=1.2s)
  Config 66/100: plaq=0.5702, R_conn=0.900261 (t=1.1s)
  Config 67/100: plaq=0.5729, R_conn=0.916741 (t=1.1s)
  Config 68/100: plaq=0.5768, R_conn=0.912364 (t=1.1s)
  Config 69/100: plaq=0.5623, R_conn=0.912443 (t=1.1s)
  Config 70/100: plaq=0.5634, R_conn=0.872173 (t=1.0s)
  Config 71/100: plaq=0.5783, R_conn=0.914381 (t=0.9s)
  Config 72/100: plaq=0.5751, R_conn=0.895415 (t=0.9s)
  Config 73/100: plaq=0.5701, R_conn=0.887920 (t=0.9s)
  Config 74/100: plaq=0.5666, R_conn=0.844710 (t=0.9s)
  Config 75/100: plaq=0.5846, R_conn=0.898225 (t=0.9s)
  Config 76/100: plaq=0.5725, R_conn=0.865625 (t=0.9s)
  Config 77/100: plaq=0.5606, R_conn=0.898408 (t=1.0s)
  Config 78/100: plaq=0.5812, R_conn=0.901597 (t=0.9s)
  Config 79/100: plaq=0.5631, R_conn=0.832728 (t=0.9s)
  Config 80/100: plaq=0.5674, R_conn=0.894033 (t=0.9s)
  Config 81/100: plaq=0.5741, R_conn=0.894139 (t=0.9s)
  Config 82/100: plaq=0.5651, R_conn=0.854972 (t=0.9s)
  Config 83/100: plaq=0.5592, R_conn=0.914975 (t=0.9s)
  Config 84/100: plaq=0.5498, R_conn=0.890092 (t=0.9s)
  Config 85/100: plaq=0.5873, R_conn=0.855836 (t=0.9s)
  Config 86/100: plaq=0.5709, R_conn=0.904872 (t=0.9s)
  Config 87/100: plaq=0.5586, R_conn=0.893572 (t=0.9s)
  Config 88/100: plaq=0.5565, R_conn=0.877293 (t=0.9s)
  Config 89/100: plaq=0.5795, R_conn=0.900674 (t=0.9s)
  Config 90/100: plaq=0.5599, R_conn=0.892877 (t=0.9s)
  Config 91/100: plaq=0.5587, R_conn=0.887160 (t=1.0s)
  Config 92/100: plaq=0.5860, R_conn=0.882971 (t=0.9s)
  Config 93/100: plaq=0.5767, R_conn=0.863458 (t=0.9s)
  Config 94/100: plaq=0.5727, R_conn=0.901910 (t=1.0s)
  Config 95/100: plaq=0.5617, R_conn=0.802430 (t=1.0s)
  Config 96/100: plaq=0.5686, R_conn=0.874571 (t=1.0s)
  Config 97/100: plaq=0.5748, R_conn=0.908050 (t=1.0s)
  Config 98/100: plaq=0.5658, R_conn=0.909168 (t=0.9s)
  Config 99/100: plaq=0.5787, R_conn=0.907531 (t=1.0s)
  Config 100/100: plaq=0.5853, R_conn=0.877948 (t=1.0s)

======================================================================
RESULTS
======================================================================

Plaquette <P>:
  Measured:  0.5731 +/- 0.0010
  Expected:  0.5934 (beta=6, thermodynamic limit)
  Deviation: 3.4%

Connected color trace ratio R_conn:
  Measured:  0.887948 +/- 0.002115
  Expected:  0.888889 = (N_c^2-1)/N_c^2 = 8/9
  Deviation: 0.11%
  1/N_c^2:   0.111111 (expected disconnected fraction)

Per-distance R_conn:
  |x| =  1.000: R = 0.888284 +/- 0.004631  (100 meas)
  |x| =  1.414: R = 0.889724 +/- 0.002204  (100 meas)
  |x| =  1.732: R = 0.889492 +/- 0.001970  (100 meas)
  |x| =  2.000: R = 0.886714 +/- 0.002968  (100 meas)
  |x| =  2.236: R = 0.886803 +/- 0.002402  (100 meas)
  |x| =  2.450: R = 0.889572 +/- 0.001671  (100 meas)
  |x| =  2.646: R = 0.887565 +/- 0.001834  (100 meas)
  |x| =  2.828: R = 0.885059 +/- 0.003858  (100 meas)
  |x| =  3.000: R = 0.885359 +/- 0.002002  (100 meas)
  |x| =  3.162: R = 0.884538 +/- 0.002260  (100 meas)
  |x| =  3.464: R = 0.884867 +/- 0.005079  (100 meas)
  |x| =  3.606: R = 0.889391 +/- 0.003659  (100 meas)
  |x| =  4.000: R = 0.894563 +/- 0.009990  (100 meas)

======================================================================
CHECKS
======================================================================
  [PASS] Plaquette within 10% of 0.5934
  [PASS] R_conn within 5% of 8/9 = 0.888889
  [PASS] R_conn error bar includes 8/9 (2-sigma)

Total runtime: 182.3s

======================================================================
ALL CHECKS PASSED
======================================================================

----- stderr -----

